,Image_url,Captions,Img_name
0,https://ii1.pepperfry.com/media/catalog/product/l/a/236x260/lattice-end-table-with-carved-top-in-cherry-finish-by---home-lattice-end-table-with-carved-top-in-ch-kl5i3u.jpg,Lattice End Table with Carved Top in Cherry Finish,kl5i3u.jpg
1,https://ii1.pepperfry.com/media/catalog/product/s/e/236x260/segur-tall-solid-wood-chest-of-drawer-in-provincial-teak-finish-by-woodsworth-segur-tall-solid-wood--qubjg7.jpg,Segur Tall Solid Wood Chest Of Drawer in Provincial Teak Finish,qubjg7.jpg
2,https://ii2.pepperfry.com/media/catalog/product/d/o/568x284/double-futon-with-two-pillows-in-light---dark-brown-colour-by-auspicious-double-futon-with-two-pillo-yw14sx.jpg,Double Futon with Mattress and 2 Cushions in Light & Dark Brown Colour,yw14sx.jpg
3,https://ii1.pepperfry.com/media/catalog/product/l/i/236x260/lisbon-metallic-queen-size-bed-in-black-finish-by-furniturekraft-lisbon-metallic-queen-size-bed-in-b-612ssi.jpg,Lisbon Metallic Queen Size Bed in Black Finish,612ssi.jpg
4,https://ii1.pepperfry.com/media/catalog/product/a/d/236x260/adrian-dressing-table-in-wenge-finish-by-parin-adrian-dressing-table-in-wenge-finish-by-parin-ewzuzw.jpg,Adrian Dressing Table in Wenge finish,ewzuzw.jpg
5,https://ii2.pepperfry.com/media/catalog/product/h/u/236x260/hush-puppy-one-seater-recliner-in-blue-colour-by-alcanes-hush-puppy-one-seater-recliner-in-blue-colo-d3uslz.jpg,Hush Puppy One Seater Recliner In Blue Colour,d3uslz.jpg
6,https://ii1.pepperfry.com/media/catalog/product/s/t/236x260/sterling-queen-bed-with-hydraulic-storage-in-brown-finish-by-hometown-sterling-queen-bed-with-hydrau-nqawwl.jpg,Sterling Queen Bed with Hydraulic Storage in Brown Finish,nqawwl.jpg
7,https://ii3.pepperfry.com/media/catalog/product/m/o/236x260/monark-wall-unit-in-cappucino-color-by--home-monark-wall-unit-in-cappucino-color-by--home-blck6n.jpg,Monark Wall Unit in Cappucino Color,blck6n.jpg
8,https://ii1.pepperfry.com/media/catalog/product/f/o/236x260/football-xxxl-bean-bag-with-beans-in-blue-colour-by-style-homez-football-xxxl-bean-bag-with-beans-in-cj2nqn.jpg,Football XXXL Bean Bag with Beans in Blue Colour,cj2nqn.jpg
9,https://ii2.pepperfry.com/media/catalog/product/d/o/236x260/dortmund-dining-chair-in-natural-finish-by--home-dortmund-dining-chair-in-natural-finish-by--home-m7gemy.jpg,Dortmund Dining Chair in Natural Finish,m7gemy.jpg
10,https://ii2.pepperfry.com/media/catalog/product/a/r/236x260/aramika-solid-wood-single-bed-in-honey-oak-finish-by-mudramark-aramika-solid-wood-single-bed-in-hone-sxleoy.jpg,Aramika Solid Wood Single Bed in Honey Oak Finish,sxleoy.jpg
11,https://ii3.pepperfry.com/media/catalog/product/t/w/236x260/two-door---two-drawer-wardrobe-in-blue---white-colour-by-alex-daisy-two-door---two-drawer-wardrobe-i-xvxleq.jpg,Two Door & Two Drawer Wardrobe in Blue & White Colour,xvxleq.jpg
12,https://ii2.pepperfry.com/media/catalog/product/f/l/236x260/flora-xxxl-bean-bag-cover--without-beans--in-black---blue-colour-by-sgs-industries-flora-xxxl-bean-b-9u2od2.jpg,Flora XXXL Bean Bag Cover (without Beans) in Black & Blue Colour,9u2od2.jpg
13,https://ii1.pepperfry.com/media/catalog/product/w/o/236x260/workspace-desk-in-brown-finish-by-durian-workspace-desk-in-brown-finish-by-durian-zwk0mj.jpg,Meridian Workspace Desk in Warm Finish,zwk0mj.jpg
14,https://ii1.pepperfry.com/media/catalog/product/p/e/236x260/penelope-multipuropose-cabinet-in-walnut-finish-by-hometown-penelope-multipuropose-cabinet-in-walnut-9cq5lb.jpg,Penelope Multipuropose Cabinet in Walnut Finish,9cq5lb.jpg
15,https://ii2.pepperfry.com/media/catalog/product/g/u/236x260/guardian-queen-size-bed-with-hydraulic-storage-in-white---walnut-finish-by--home-guardian-queen-size-v0ice3.jpg,Guardian Queen Size Bed with Hydraulic Storage in White & Walnut Finish,v0ice3.jpg
16,https://ii1.pepperfry.com/media/catalog/product/m/a/236x260/magna-three-seater-sofa-with-two-recliners-in-beige-leatherette-by-evok-magna-three-seater-sofa-with-otj6vf.jpg,Magna Three Seater Sofa with Two Recliners in Beige Leatherette,otj6vf.jpg
17,https://ii3.pepperfry.com/media/catalog/product/c/l/568x284/clinton-queen-size-bed-with-hydraulic-storage-in-white---dark-walnut-finish-by-evok-clinton-queen-si-ejxqld.jpg,Clinton Queen Size Bed with Hydraulic Storage in White & Dark Walnut Finish,ejxqld.jpg
18,https://ii3.pepperfry.com/media/catalog/product/d/r/236x260/driftingwood-walnut-mdf-single-floating-wall-shelf-driftingwood-walnut-mdf-single-floating-wall-shel-uzgmfa.jpg,Floating Wall Shelf in Walnut Finish,uzgmfa.jpg
19,https://ii2.pepperfry.com/media/catalog/product/s/t/236x260/stigen-four-seater-dining-table-in-provincial-teak-finish-by-woodsworth-stigen-four-seater-dining-ta-mpom4n.jpg,Stigen Solid Wood Four Seater Dining Table in Provincial Teak Finish,mpom4n.jpg
20,https://ii1.pepperfry.com/media/catalog/product/d/r/236x260/driftingwood-desert-walnut-mdf-zigzag-shape-3-tier-corner-wall-shelf-driftingwood-desert-walnut-mdf--ywmkha.jpg,Driftingwood Desert Walnut MDF Zigzag Shape 3-Tier Corner Wall Shelf,ywmkha.jpg
21,https://ii1.pepperfry.com/media/catalog/product/s/m/236x260/smart-brown-colour-executive-chair-by-adiko-system-smart-brown-colour-executive-chair-by-adiko-syste-q2rvhn.jpg,Smart Brown Colour Executive Chair,q2rvhn.jpg
22,https://ii3.pepperfry.com/media/catalog/product/b/e/236x260/bean-bag-cover-in-beige-colour-by-reme-bean-bag-cover-in-beige-colour-by-reme-neadxd.jpg,ORGANIC COTTON Bean Bag Cover in Beige Colour,neadxd.jpg
23,https://ii1.pepperfry.com/media/catalog/product/d/r/236x260/driftingwood-black---yellow-mdf-u-shape-floating-wall-shelves-driftingwood-black---yellow-mdf-u-shap-vdrohw.jpg,Floating Wall Shelf (Set of 3) in Black & Yellow Finish,vdrohw.jpg
24,https://ii1.pepperfry.com/media/catalog/product/2/4/236x260/24-inches-four-door-powder-coated-wall-mounted-metallic-shoe-rack-in-ivory-violet-colour-by-delite-k-dueb51.jpg,24 Inches Four Door Powder Coated Wall Mounted Metallic Shoe Rack in Ivory Violet colour,dueb51.jpg
25,https://ii3.pepperfry.com/media/catalog/product/e/m/236x260/emica-study-table-with-drawer---cabinet-in-nut-brown-finish-by-mintwud-emica-study-table-with-drawer-udkxmu.jpg,Emica Study Table with Drawer & Cabinet in White Finish,udkxmu.jpg
26,https://ii3.pepperfry.com/media/catalog/product/l/e/236x260/lennart-solid-wood-study-table-in-vintage-walnut-finish-by-woodsworth-lennart-solid-wood-study-table-pg5iga.jpg,Lennart Solid Wood Study Table in Vintage Walnut Finish,pg5iga.jpg
27,https://ii2.pepperfry.com/media/catalog/product/d/i/236x260/divine-two-seater-recliner-in-brown-by-royal-oak-divine-two-seater-recliner-in-brown-by-royal-oak-zccs0a.jpg,Divine Two Seater Recliner in Brown Colour,zccs0a.jpg
28,https://ii2.pepperfry.com/media/catalog/product/a/l/236x260/alun-rio-stool-in-orange--finish-by-bohemiana-alun-rio-stool-in-orange--finish-by-bohemiana-wpkjzy.jpg,Alun Solid Wood Rio Stool in Natural Finish,wpkjzy.jpg
29,https://ii2.pepperfry.com/media/catalog/product/d/a/236x260/daffodil-entertainment-unit-by-royal-oak-daffodil-entertainment-unit-by-royal-oak-kddnvx.jpg,Daffodil TV Unit in Dual Tone Finish,kddnvx.jpg
30,https://ii1.pepperfry.com/media/catalog/product/a/n/236x260/anne-solid-wood-book-shelf-in-provincial-teak-finish-by-amberville-anne-solid-wood-book-shelf-in-pro-qwu8lz.jpg,Anne Solid Wood Book Shelf in Provincial Teak Finish,qwu8lz.jpg
31,https://ii1.pepperfry.com/media/catalog/product/f/a/236x260/fayne-study-desk-in-blue-colour-by-nuhoom-fayne-study-desk-in-blue-colour-by-nuhoom-v9uxv8.jpg,Fayne Study Desk in Blue Colour,v9uxv8.jpg
32,https://ii3.pepperfry.com/media/catalog/product/o/k/236x260/okinawa-king-size-bed-with-headboard-storage-in-chocolate-finish-by-mintwud-okinawa-king-size-bed-wi-3hff2e.jpg,Okinawa King Size Bed with Headboard Storage in Chocolate Finish,3hff2e.jpg
33,https://ii2.pepperfry.com/media/catalog/product/f/u/236x260/furorida-bedside-table-in-dark-brown-finish-by-mintwud-furorida-bedside-table-in-dark-brown-finish-b-aolwf6.jpg,Furorida Cabinet cum Bedside Table in Dark Brown Finish,aolwf6.jpg
34,https://ii3.pepperfry.com/media/catalog/product/s/t/236x260/stafford-solid-wood-king-size-bed-with-box-storage-in-honey-oak-finish-by-amberville-stafford-solid--abb4ik.jpg,Stafford Solid Wood King Size Bed with Box Storage in Honey Oak Finish,abb4ik.jpg
35,https://ii1.pepperfry.com/media/catalog/product/m/e/236x260/metal-queen-hydraulic-size-bed-with-storage-in-black-finish-by-diamond-interiors-metal-queen-hydraul-msuhow.jpg,Metal Queen Hydraulic Size Bed with Storage in Black Finish,msuhow.jpg
36,https://ii1.pepperfry.com/media/catalog/product/s/i/236x260/simple-visitor-office-chair-by-adiko-simple-visitor-office-chair-by-adiko-u9qn8n.jpg,Simple Visitor Office Chair,u9qn8n.jpg
37,https://ii1.pepperfry.com/media/catalog/product/c/o/236x260/cosmo-two-door-wardrobe-in-brown-finish-by-evok-cosmo-two-door-wardrobe-in-brown-finish-by-evok-tqaszs.jpg,Cosmo Two Door Wardrobe in Brown Finish,tqaszs.jpg
38,https://ii2.pepperfry.com/media/catalog/product/n/a/236x260/napoli-four-seater-dining-table-with-black-marble-top-by--home-napoli-four-seater-dining-table-with--punage.jpg,Napoli Four Seater Dining Table with Black Marble Top,punage.jpg
39,https://ii2.pepperfry.com/media/catalog/product/s/y/236x260/sydney-queen-size-bed-by-royal-oak-sydney-queen-size-bed-by-royal-oak-x4fatv.jpg,Sydney Queen size Bed,x4fatv.jpg
40,https://ii1.pepperfry.com/media/catalog/product/k/e/236x260/kennewick-solid-wood-portable-laptop-table-in-provincial-teak-finish-by-woodsworth-kennewick-solid-w-uyrow3.jpg,Kennewick Solid Wood Portable Laptop Table in Provincial Teak Finish,uyrow3.jpg
